id,question,letter,answer,img
0,Układy sekwencyjne zbudowane z zespołu przerzutników najczęściej synchronicznych typu D służące do przechowywania danych to,C,rejestry,0
1,Transformator impulsowy w przedstawionym zasilaczu oznaczono symbolem,A,A,1
2,Na przedstawionej płycie głównej możliwy jest montaż procesora z obudową typu,A,LGA,1
3,Kompatybilne podzespoły oznaczono w tabeli numerami,C,2 4 5,1
4,Przed rozpoczęciem modernizacji komputerów osobistych oraz serwerów polegającej na dołożeniu nowych modułów pamięci RAM należy sprawdzić,A,model pamięci RAM maksymalną pojemność i liczbę modułów obsługiwaną przez płytę główną.,0
5,Do aktualizacji systemów Linux można wykorzystać programy,C,apt-get i zipper,0
6,Aby umożliwić komunikację urządzenia mobilnego z komputerem przez interfejs Bluetooth należy,D,wykonać parowanie urządzeń.,0
7,Która licencja ma charakter grupowy oraz umożliwia instytucjom komercyjnym lub organizacjom edukacyjnym państwowym charytatywnym zakup na korzystnych warunkach większej liczby oprogramowania firmy Microsoft?,D,MOLP,0
8,Topologia fizyczna sieci w której jako medium transmisyjne stosuje się fale radiowe jest nazywana topologią,A,ad-hoc,0
9,Który ze standardów Gigabit Ethernet umożliwia budowę segmentów sieci o długości 550 m/5000 m z prędkością transmisji 1 Gb/s?,C,1000Base-LX,0
10,Protokołem kontrolnym rodziny TCP/IP którego rolą jest między innymi wykrywanie awarii urządzeń sieciowych jest,B,ICMP,0
11,Aby można było wykorzystać aparat telefoniczny PSTN do wykonywania połączeń za pomocą sieci komputerowej należy go podłączyć do,D,bramki VoIP,0
12,Wskaż narzędzie służące do mocowania pojedynczych żył kabla miedzianego w złączach.,B,B,1
13,Za pomocą programu Acrylic Wi-Fi Home wykonano test którego wyniki przedstawiono na zrzucie. Na ich podstawie można stwierdzić że dostępna sieć bezprzewodowa,A,jest nieszyfrowana.,1
14,Który adres IP należy do klasy A?,D,125.11.0.7,0
15,Wskaż adres rozgłoszeniowy sieci do której należy host o adresie 88.89.90.91/6?,A,91.255.255.255,0
16,Aby w systemie Windows wykonać śledzenie trasy pakietów do serwera strony internetowej należy wykorzystać polecenie,B,tracert,0
17,Na schemacie obrazującym zasadę działania monitora plazmowego numerem 6 oznaczono,C,elektrody adresujące.,1
18,Na ilustracji zaznaczono strzałkami funkcję przycisków znajdujących się na obudowie projektora multimedialnego. Za pomocą tych przycisków można,B,regulować zniekształcony obraz.,1
19,Pierwszą czynnością niezbędną do zabezpieczenia rutera przed dostępem do jego panelu konfiguracyjnego przez osoby niepowołane jest,D,zmiana nazwy login i hasła wbudowanego konta administratora.,0
20,Aby wyczyścić z kurzu wnętrze obudowy drukarki fotograficznej należy użyć,A,sprężonego powietrza w pojemniku z wydłużoną rurką.,0
21,Na podstawie zrzutu ekranu przedstawiającego konfigurację przełącznika można stwierdzić że,A,czas między wysyłaniem kolejnych komunikatów o poprawnej pracy urządzenia wynosi 3 sekundy.,1
22,Przedstawione polecenia uruchomione w interfejsie CLI rutera firmy CISCO spowodują,D,ustawienie interfejsu wewnętrznego o adresie 10.0.0.1/24 dla technologii NAT,1
23,Schemat przedstawia zasadę działania sieci VPN o nazwie,B,Site - to - Site,1
24,Przedstawione narzędzie może być wykorzystane do,C,pomiaru wartości napięcia w zasilaczu,1
25,Wskaż program systemu Linux służący do kompresji danych.,C,gzip,0
26,Wskaż sygnał oznaczający błąd karty graficznej komputera wyposażonego w BIOS POST firmy AWARD.,B,1 długi 2 krótkie.,0
27,Po sprawdzeniu komputera programem diagnostycznym wykryto że temperatura pracy karty graficznej posiadającej wyjścia HDMI i D-SUB osadzonej w gnieździe PCI Express komputera stacjonarnego wynosi 87°C. W takim przypadku serwisant powinien,B,sprawdzić czy wentylator jest sprawny i czy nie jest zakurzony.,0
28,SuperPi to program wykorzystywany do sprawdzenia,D,wydajności procesorów o zwiększonej częstotliwości.,0
29,Odzyskanie listy kontaktów w telefonie komórkowym z zainstalowanym systemem Android jest możliwe gdy użytkownik wcześniej wykonał synchronizację danych urządzenia z Google Drive za pomocą,B,konta Google,0
30,Aby wyeliminować podstawowe zagrożenia związane z bezpieczeństwem pracy na komputerze podłączonym do sieci Internet w pierwszej kolejności należy,B,zainstalować program antywirusowy zaktualizować bazy wirusów włączyć firewall i wykonać aktualizację systemu.,0
31,Serwisant wykonał w ramach zlecenia czynności wymienione w tabeli. Koszt zlecenia obejmuje cenę usług zawartych w tabeli oraz koszt pracy serwisanta którego stawka godzinowa wynosi 6000 zł netto. Ustal całkowity koszt zlecenia brutto. Stawka podatku VAT na usługi wynosi 23%.,A,49200 zł,1
32,Aby w systemie Windows zmienić parametry konfiguracyjne Menu Start i paska zadań należy wykorzystać przystawkę,C,gpedit.msc,0
33,Konfigurację interfejsu sieciowego w systemie Linux można wykonać edytując plik,D,/ etc / network / interfaces,0
34,W systemie Linux polecenie touch służy do,A,utworzenia pliku lub zmiany daty modyfikacji lub daty ostatniego dostępu.,0
35,Aby w systemie Windows Server wykonać rezerwację adresów IP na podstawie adresów fizycznych MAC urządzeń należy skonfigurować usługę,D,DHCP,0
36,Po wydaniu przedstawionego polecenia systemu Windows wartość 11 zostanie ustawiona dla,B,minimalnej liczby znaków w hasłach użytkowników.,0
37,Protokół RDP jest wykorzystywany w usłudze,C,pulpitu zdalnego w systemie Windows.,0
38,Narzędziem systemu Windows służącym do sprawdzenia prób logowania do systemu jest dziennik,D,zabezpieczeń,0
39,Program fsck jest wykorzystywany w systemie Linux do,C,dokonania oceny stanu systemu plików i wykrycia uszkodzonych sektorów.,0
40,Który zapis w systemie binarnym odpowiada liczbie 91 zapisanej w systemie szesnastkowym?,A,10010001,0
41,Którą bramkę logiczną opisuje wyrażenie,B,B,1
42,Na rysunku przedstawiona jest karta,D,sieciowa Fibre Channel,1
43,Na rysunku przedstawiono schemat blokowy karty,D,telewizyjnej.,1
44,Na rysunku przedstawiono fragment dokumentacji technicznej płyty głównej GA-K8NF-9-RH rev. 2.x. Wynika z niej że maksymalna liczba możliwych do zamontowania kart rozszerzeń (pomijając interfejs USB) wynosi,A,6,1
45,Na rysunku przedstawiono tylny panel stacji roboczej. Strzałką oznaczono port,D,DisplayPort,1
46,Na rysunku przedstawiono komunikat systemowy. Jakie działanie powinien wykonać użytkownik aby usunąć błąd?,C,Zainstalować sterownik do karty graficznej.,1
47,Shareware to rodzaj licencji polegającej na,C,bezpłatnym rozpowszechnianiu programu na czas testów przed zakupem.,0
48,Ataki na systemy komputerowe polegające na podstępnym wyłudzaniu od użytkownika jego osobistych danych przy wykorzystaniu zazwyczaj formy fałszywych powiadomień z instytucji czy od dostawców systemów e-płatności i innych ogólnie znanych organizacji to,B,phishing,0
49,Który z symboli oznacza zastrzeżenie praw autorskich?,A,A,1
50,Który typ fizycznej topologii sieci komputerowej przedstawiono na rysunku?,A,Siatki.,1
51,Ile domen kolizyjnych i rozgłoszeniowych jest widocznych na schemacie?,B,9 domen kolizyjnych i 4 domeny rozgłoszeniowe.,1
52,Zasady budowy systemu okablowania strukturalnego specyfikacja parametrów kabli oraz procedury testowania obowiązujące w Polsce zostały zawarte w normach,C,PN-EN 50173,0
53,Który adres IPv6 jest prawidłowy?,B,1234:9ABC::123:DEF4,0
54,Który z protokołów w systemach operacyjnych Linux wykorzystywany jest w sieciach LAN?,A,IP,0
55,Przedstawione na rysunku urządzenie,C,umożliwia zamianę sygnału pochodzącego z okablowania miedzianego na okablowanie światłowodowe.,1
56,Które urządzenie zastosowane w sieci komputerowej nie zmienia liczby domen kolizyjnych?,B,Serwer.,0
57,Na rysunku przedstawiono zakończenie kabla,D,światłowodowego.,1
58,Przedstawione na rysunku urządzenie wraz ze specyfikacją techniczną można wykorzystać do pomiarów okablowania,D,światłowodowego.,1
59,Który tryb pracy Access Pointa jest stosowany dla zapewnienia urządzeniom bezprzewodowym dostępu do przewodowej sieci LAN?,B,Punkt dostępowy.,0
60,Jeżeli adres IP stacji roboczej ma postać 176.16.50.10/26 to adres rozgłoszeniowy oraz maksymalna liczba hostów w sieci wynoszą odpowiednio,C,176.16.50.63; 62 hosty.,0
61,Sieć w której pracuje stacja robocza o adresie IP 192.168.100.50/28 podzielono na 4 podsieci. Prawidłowa lista podsieci to,A,192.168.100.48/30; 192.168.100.52/30; 192.168.100.56/30; 192.168.100.60/30,0
62,Na rysunku przedstawiono wynik testu okablowania. Zinterpretuj wynik pomiaru.,A,Błąd zwarcia.,1
63,Na rysunku przedstawiono fragment wyniku działania programu do testowania sieci. Wskazuje to na zastosowanie sieciowego polecenia testującego,D,netstat,1
64,Które z protokołów przekazują okresowe kopie tablic rutingu do sąsiedniego rutera i nie mają pełnej informacji o odległych ruterach?,D,EIGPR OSPF,0
65,Rozdzielczość optyczna to jeden z parametrów,A,skanera.,0
66,Na rysunku przedstawiono interfejs w komputerze przeznaczony do podłączenia,A,monitora LCD.,1
67,Które oprogramowanie należy zainstalować aby umożliwić zeskanowanie tekstu z wydrukowanego dokumentu do edytora tekstu?,C,Program OCR,0
68,Użytkownicy z grupy Pracownicy nie mogą drukować dokumentów przy użyciu serwera wydruku na systemie operacyjnym Windows Server. Mają oni przydzielone uprawnienia tylko „Zarządzanie dokumentami”. Co należy zrobić aby rozwiązać opisany problem?,A,Dla grupy Pracownicy należy nadać uprawnienia „Drukuj”,0
69,Na rysunku przedstawiającym budowę drukarki w której nierównomiernie podawany jest toner na bęben należy wymienić wałek magnetyczny który jest oznaczony numerem,B,2,1
70,Który protokół działa w warstwie aplikacji modelu ISO/OSI umożliwiając wymianę informacji kontrolnych pomiędzy urządzeniami sieciowymi?,C,SNMP,0
71,Na rysunku przedstawiono konfigurację urządzenia. Do których portów należy podłączyć serwer o adresie IP 192.168.20.254/24 oraz stację roboczą o adresie IP 192.168.20.10/24 aby zapewnić komunikację tych urządzeń w sieci?,C,Do portów 1 i 3,1
72,Na rysunku przedstawiono konfigurację urządzenia z której wynika że,A,utworzono dwa nowe VLAN-y: ID13 ID48,1
73,Na rysunku przedstawiono okno konfiguracyjne rutera. Ustawione parametry świadczą o tym że,D,komputerowi o adresie MAC 44-8A-5B-5A-56-D0 usługa DHCP rutera przydzieli adres IP 192.168.17.30,1
74,Który typ zabezpieczeń w sieci WiFi posiada najlepszy poziom zabezpieczeń?,C,WPA2,0
75,Jeżeli przy uruchamianiu komputera procedura POST zasygnalizuje błąd odczytu/zapisu pamięci CMOS to należy,C,wymienić baterię układu lub wymienić płytę główną.,0
76,Które polecenie powinien zastosować root w systemie Ubuntu Linux aby zaktualizować wszystkie pakiety (cały system) do nowej wersji wraz z nowym jądrem?,C,apt-get dist-upgrade,0
77,Które polecenie w systemie Linux nada uprawnienia do pisania dla wszystkich obiektów w /usr/share dla wszystkich użytkowników nie zmieniając pozostałych uprawnień?,C,chmod -R a+w /usr/share,0
78,Udostępniono w sieci lokalnej jako udział specjalny folder o nazwie egzamin znajdujący się na komputerze o nazwie SERWER_2 w katalogu głównym dysku C:\. Jak powinna wyglądać ścieżka dostępu do katalogu egzamin w którym przechowywany jest folder macierzysty dla konta użytkownika o określonym loginie?,D,\\SERWER_2\egzamin$\%USERNAME%,0
79,Aby profil stał się obowiązkowym należy zmienić rozszerzenie pliku ntuser.dat na,B,ntuser.man,1
80,Przedstawiony na rysunku element elektroniczny to,C,tranzystor.,1
